Material,Density,AllowableStressMPa,PressureBar,InternalVolume,StoredEnergyMJ,Radius,Length,HeadDepth,ShellThickness,HeadThickness,Mass
SA-53 E/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-53 E/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-53 F/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-53 S/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-53 S/A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-106 A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-135 A,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-369 FPA,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-587,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-587,7750,330,200,0.0349999991352745,163.799995953084,0.137910982024835,0.493820353452886,0.0689554910124177,0.00867364666822845,0.005,38.2175303552126
SA-675 50,7750,345,200,0.0349999992205033,163.799996351955,0.137914124843912,0.49379156305515,0.0689570624219561,0.00828313062125515,0.005,36.4346837598747
SA-675 50,7750,345,200,0.0349999992205033,163.799996351955,0.137914124843912,0.49379156305515,0.0689570624219561,0.00828313062125515,0.005,36.4346837598747
SA-134 A283B,7750,345,200,0.0349999992205033,163.799996351955,0.137914124843912,0.49379156305515,0.0689570624219561,0.00828313062125515,0.005,36.4346837598747
SA-283 B,7750,345,200,0.0349999992205033,163.799996351955,0.137914124843912,0.49379156305515,0.0689570624219561,0.00828313062125515,0.005,36.4346837598747
SA-285 B,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-285 B,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-672 A50,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-414 B,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10028-3 P275NH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10028-2 P235GH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10216-2 P235GH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10028-3 P275NH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10216-2 P235GH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10216-2 P235GH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA/EN 10028-3 P275NH,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-675 55,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-675 55,7750,380,200,0.0349999993965026,163.799997175632,0.135399008539165,0.517431138873706,0.0676995042695824,0.00735864176843279,0.005,32.719085323229
SA-134 A283C,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-283 C,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-285 C,7750,88.9,200,0.0349999205165744,163.799628017568,0.114757324819799,0.769467828252498,0.0573786624098997,0.0298458582106155,0.0135223041633095,169.56925433302
SA-333 1,7750,88.9,200,0.0349999205165744,163.799628017568,0.114757324819799,0.769467828252498,0.0573786624098997,0.0298458582106155,0.0135223041633095,169.56925433302
SA-334 1,7750,88.9,200,0.0349999205165744,163.799628017568,0.114757324819799,0.769467828252498,0.0573786624098997,0.0298458582106155,0.0135223041633095,169.56925433302
SA-334 1,7750,88.9,200,0.0349999205165744,163.799628017568,0.114757324819799,0.769467828252498,0.0573786624098997,0.0298458582106155,0.0135223041633095,169.56925433302
SA-516 55,7750,88.9,200,0.0349999205165744,163.799628017568,0.114757324819799,0.769467828252498,0.0573786624098997,0.0298458582106155,0.0135223041633095,169.56925433302
SA-524 II,7750,92.4,200,0.0349996670503576,163.798441795673,0.118322214636355,0.716877343243026,0.0591611073181773,0.0294333867254623,0.0140866268873279,162.163761848936
SA-671 CA55,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-671 CE55,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-672 A55,7750,92.4,200,0.0349996670503576,163.798441795673,0.118322214636355,0.716877343243026,0.0591611073181773,0.0294333867254623,0.0140866268873279,162.163761848936
SA-672 B55,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-672 C55,7750,92.4,200,0.0349996670503576,163.798441795673,0.118322214636355,0.716877343243026,0.0591611073181773,0.0294333867254623,0.0140866268873279,162.163761848936
SA-672 E55,7750,78.6,200,0.0349999918796789,163.799961996897,0.0997336678874034,1.05355335197851,0.0498668339437017,0.0299500504166379,0.0185731910848119,195.550039974759
SA-414 C,7750,80.7,200,0.0349999909928261,163.799957846426,0.102871154046802,0.984182771256269,0.0514355770234012,0.0299479342203255,0.0166083952724765,189.497071011418
SA/EN 10028-3 P275NH,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
SA-36,7750,80.7,200,0.0349999909928261,163.799957846426,0.102871154046802,0.984182771256269,0.0514355770234012,0.0299479342203255,0.0166083952724765,189.497071011418
SA-36,7750,56.5,148.930188189736,0.035,121.973824127394,0.0958117141059797,1.14974056927176,0.0479058570529899,0.03,0.0132530248936021,204.165559625999
SA-662 A,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
SA/IS 2062 E250A,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
SA/IS 2062 E250B,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
SA/IS 2062 E250C,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
SA/IS 2062 E250A,7750,94.5,200,0.0349999902956504,163.799954583644,0.123609628279045,0.646737822928631,0.0618048141395225,0.0299659704918887,0.0134540373028404,158.928181565972
